物件名,平米単価,家賃,管理費・共益費,敷金,礼金,保証金,敷引・償却,部屋の特徴・設備,所在地,駅徒歩,間取り,間取り詳細,専有面積,バルコニー面積,階,向き,建物種別,構造,階建,築年数,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,仲介手数料,保証会社,ほか初期費用,ほか諸費用,備考,URL
Ｓ－ＦＯＲＴ大分駅前,1809.805857,55000,6000円,5万円,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、洗面所独立、2口コンロ、宅配ボックス、CATV、即入居可、礼金不要、最上階、IHクッキングヒーター、電気コンロ、ロフト、全居室フローリング、駅徒歩5分以内、駅徒歩10分以内、上階無し、敷地内ごみ置き場、ガラストップコンロ、洗面所にドア、玄関収納、保証会社利用可,大分県大分市中央町３,ＪＲ日豊本線/大分駅 歩5分,1DK,洋8.5 DK5.2,30.39,-,11階,南西,マンション,鉄筋コン,11階/11階建,築18年,2007年3月,要,敷地内19800円,即,仲介,-,71715099,100380326373,90戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 月額総賃料の８０％【初回のみ】,合計6.82万円（内訳：退去時清掃料／除菌施工費／鍵交換代等）,-,保証会社加入　保証会社:ジェイリース(株),https://suumo.jp/chintai/jnc_000090502894/?bc=100380326373
Ｓ－ＦＯＲＴ大分駅前,1831.683168,55500,6000円,5万円,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、温水洗浄便座、エレベーター、洗面所独立、駐輪場、宅配ボックス、礼金不要、最上階、防犯カメラ、ロフト、駅徒歩10分以内、保証会社利用可、IT重説 対応物件、初期費用カード決済可,大分県大分市中央町３,ＪＲ日豊本線/大分駅 歩7分,1DK,洋8.3 DK5.2,30.3,-,11階,南西,マンション,鉄筋コン,11階/11階建,築18年,2007年3月,要,敷地内19800円,即,仲介,-,68737228,100377716016,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 契約時：月額賃料等の５０％？更新時：１万円／年,合計4.73万円（内訳：退去清掃料）,光インターネット　２９７０円（月額）,・保証会社加入要　・契約期間１年ｏｒ２年（選択可）,https://suumo.jp/chintai/jnc_000089823926/?bc=100377716016
ｈｏｕｚｚ,2215.868477,62000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、駐輪場、宅配ボックス、CATV、IHクッキングヒーター、照明付、ロフト、ウォークインクロゼット、ネット使用料不要、都市ガス,大分県大分市中央町３,ＪＲ日豊本線/大分駅 歩12分,1K,-,27.98,-,15階,南,マンション,鉄筋コン,15階/15階建,築10年,2014年9月,要,-,即,仲介,-,136611505,100370748574,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５３，２８０円　更新無,合計6.12万円（内訳：鍵交換代15400円/その他初期費用45760円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000089174978/?bc=100370748574
竹中ビル,1378.600823,67000,3000円,-,-,-,-,バストイレ別、バルコニー、クロゼット、フローリング、シャワー付洗面台、TVインターホン、室内洗濯置、システムキッチン、角住戸、温水洗浄便座、洗面所独立、押入、即入居可、礼金不要、敷金不要、ペット相談、照明付、保証人不要、LDK15畳以上、エアコン3台、駅徒歩10分以内、LDK12畳以上、LDK18畳以上、都市ガス、敷金・礼金不要、保証会社利用可,大分県大分市中央町４,ＪＲ豊肥本線/大分駅 歩10分,2LDK,LDK18,48.6,-,2階,東,マンション,鉄筋コン,2階/4階建,築41年,1983年8月,要,-,即,代理,二人入居可/ペット相談,98326734,100347724816,2戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 月額総賃料の50％（初回）　月額保証料1.5％（毎月）,合計7.54万円（内訳：保証料／入居安心パック等）,ライフサポート２４Ｍ　１１００円（月額）／事務管理手数料　５００円（月額）／保証料（毎月）　１０７４円（月額）,ペット飼育の場合ペット礼金1ヶ月　近隣駐車場有り　保証会社:(株)アプラス月額総賃料の５０％（初回）　月額保証料１．５％（毎月）,https://suumo.jp/chintai/jnc_000085616695/?bc=100347724816
ＷＩＮＤＯＭセントラルレジデンス,1776.710684,74000,5000円,-,7.4万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、シャワー付洗面台、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、洗面所独立、駐輪場、宅配ボックス、防犯カメラ、ウォークインクロゼット、カードキー、ネット使用料不要、複層ガラス、プロパンガス,大分県大分市中央町３,ＪＲ日豊本線/大分駅 歩15分,1LDK,-,41.65,-,9階,東,マンション,鉄筋コン,9階/12階建,築6年,2019年3月,要,-,相談,仲介,-,345190903,100387639115,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　６４，６４０円　更新無,合計7.11万円（内訳：鍵交換代25300円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用200円/月,-,https://suumo.jp/chintai/jnc_000091572861/?bc=100387639115
ＷＩＮＤＯＭセントラルレジデンス,1788.235294,76000,5000円,-,7.6万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、追焚機能浴室、温水洗浄便座、エレベーター、洗面所独立、洗面化粧台、駐輪場、宅配ボックス、防犯カメラ、ウォークインクロゼット、カードキー、ネット使用料不要、複層ガラス、プロパンガス,大分県大分市中央町３,ＪＲ日豊本線/大分駅 歩15分,1LDK,-,42.5,-,10階,東,マンション,鉄筋コン,10階/12階建,築6年,2019年3月,要,-,相談,仲介,-,345191004,100335686609,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　６６，２４０円　更新無,合計7.11万円（内訳：鍵交換代25300円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用200円/月,-,https://suumo.jp/chintai/jnc_000090965148/?bc=100335686609
パークサイドにし新町 1302号室,1396.503569,135000,-,13.5万円,13.5万円,-,-,バストイレ別、バルコニー、フローリング、オートロック、室内洗濯置、陽当り良好、シューズボックス、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、2口コンロ、CATV、即入居可、照明付、分譲賃貸、敷金1ヶ月、バイク置場、ガスレンジ付、2沿線利用可、保証金不要、クロゼット3ヶ所、3駅以上利用可、駅徒歩10分以内、敷地内ごみ置き場、専有面積25坪以上、LDK12畳以上、和室、礼金1ヶ月,大分県大分市中央町４,"ＪＲ久大本線/大分駅 歩10分
ＪＲ久大本線/古国府駅 歩34分
ＪＲ日豊本線/西大分駅 歩28分",5LDK,和6 和5.3 洋6.3 洋6.2 洋6 LDK12.3,96.67,17m2,13階,南,マンション,鉄骨鉄筋,13階/15階建,築20年,2005年4月,2.2万円2年,敷地内15000円,即,仲介,-,1475394,100371729852,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 賃貸保証会社加入要　　初回保証料月額賃料の８０％,-,町会費300円,日豊本線 西大分駅徒歩28分/抗菌施工代:28600円、ファイテック:20790円、アルソックロック:2200円、安心入居サポート:16500円,https://suumo.jp/chintai/jnc_000089318989/?bc=100371729852
パークサイドにし新町 1302号室,1552.795031,150000,-,15万円,15万円,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、TVインターホン、オートロック、室内洗濯置、シューズボックス、システムキッチン、温水洗浄便座、脱衣所、エレベーター、洗面所独立、2口コンロ、宅配ボックス、即入居可、3口以上コンロ、ペット相談、IHクッキングヒーター、照明付、駐車場1台無料、敷金1ヶ月、クロゼット2ヶ所、ペット専用設備、クロゼット3ヶ所、カーテン付、駅徒歩10分以内、洗面所にドア、玄関収納、礼金1ヶ月、保証会社利用可、全室照明付,大分県大分市中央町４,ＪＲ日豊本線/大分駅 歩9分,5LDK,LDK,96.6,-,13階,-,マンション,鉄骨鉄筋,13階/15階建,築20年,2005年4月,要,付無料,即,仲介,ペット相談,99631935,100373534615,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回：月額総賃料の８０％,合計3.96万円（内訳：入居者安心パック）,-,保証会社:Ｊリース（要確認）,https://suumo.jp/chintai/jnc_000089578074/?bc=100373534615
第２峯野ビル,2000,39000,-,-,-,-,-,エアコン、エレベーター、宅配ボックス、CATV、即入居可、防犯カメラ、IHクッキングヒーター、照明付、保証人不要、仲介手数料不要、オール電化、デザイナーズ、駅まで平坦、フリーレント、事務所相談、一部フローリング、駅徒歩10分以内、敷地内ごみ置き場、当社管理物件、敷金・礼金不要、初期費用5万円以下、IT重説 対応物件、初期費用カード決済可,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩7分,1DK,-,19.5,-,5階,西,マンション,鉄筋コン,5階/8階建,築39年,1985年8月,要,-,即,貸主,事務所利用相談/フリーレント1ヶ月 家賃のみ,2,100263524906,-,2024/06/21,次回更新日は情報更新日より１５日以内,-,不要,保証会社利用必 月額総賃料の70％（安心サポート含む）,合計4.23万円（内訳：賃貸保証:31206円/鍵交換代:11000円）,定額水道料:3300円/町費:300円,巡回管理/敷金・礼金・前家賃ゼロキャンペーン中。ＩＨクッキングヒーター付き。店舗・事務所としても相談可 。,https://suumo.jp/chintai/jnc_000025653732/?bc=100263524906
第２峯野ビル,2104.032729,72000,-,7.2万円,-,-,-,バストイレ別、バルコニー、フローリング、室内洗濯置、エレベーター、駐輪場、押入、即入居可、礼金不要、最上階、電気コンロ、敷金1ヶ月、オール電化、駅徒歩5分以内、駅徒歩10分以内、LDK12畳以上、全居室6畳以上、保証会社利用可,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩5分,1LDK,洋6 LDK12,34.22,-,7階,西,マンション,鉄筋コン,7階/7階建,築40年,1985年1月,要,-,即,仲介,二人入居可,75729001,100383146072,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 月額総賃料８０％,-,水道料　３３００円（月額）,保証会社:Ｊリース,https://suumo.jp/chintai/jnc_000053431977/?bc=100383146072
第２吉良ビル,1293.103448,48000,-,-,-,-,-,バストイレ別、エアコン、フローリング、室内洗濯置、シューズボックス、温水洗浄便座、2口コンロ、フリーレント、駅徒歩10分以内、都市ガス、敷金・礼金不要、IT重説 対応物件、全室照明付,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩10分,2DK,洋6 洋4.5 DK6,37.12,-,4階,-,マンション,鉄筋コン,4階/5階建,築58年,1967年1月,1.8万円2年,-,即,仲介,フリーレント1ヶ月,-,100067055325,-,2024/06/25,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 ジェイリース総額賃料80％,-,安心サポート16500円　水道代込み　メンテナンス40000円税別　エアコン洗浄代10000円税別　鍵交換任意,常駐管理/リフォーム：平成25年9月全面リファーム,https://suumo.jp/chintai/jnc_000082740637/?bc=100067055325
菊家総本店ビル,1111.111111,44000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、室内洗濯置、エレベーター、洗面所独立、洗面化粧台、IHクッキングヒーター、冷蔵庫、オール電化,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩12分,ワンルーム,-,39.6,-,5階,西,マンション,鉄骨鉄筋,5階/8階建,築34年,1991年1月,要,-,即,仲介,ペット相談,279680502,100376450280,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　４０，７２０円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000089966537/?bc=100376450280
菊家総本店ビル,1111.111111,44000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、オートロック、室内洗濯置、エレベーター、洗面所独立、洗面化粧台、IHクッキングヒーター、オール電化,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩12分,ワンルーム,-,39.6,-,4階,西,マンション,鉄骨鉄筋,4階/8階建,築34年,1991年1月,要,-,即,仲介,ペット相談,279680403,100314688789,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　４０，７２０円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000080061954/?bc=100314688789
菊家総本店ビル,1111.111111,44000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、TVインターホン、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、IHクッキングヒーター、オール電化,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩12分,ワンルーム,-,39.6,-,4階,西,マンション,鉄骨鉄筋,4階/8階建,築34年,1991年1月,要,-,即,仲介,ペット相談,279680401,100250069311,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　４０，７２０円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000088049698/?bc=100250069311
菊家総本店ビル,1111.111111,44000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、オートロック、室内洗濯置、エレベーター、洗面所独立、洗面化粧台、IHクッキングヒーター、オール電化,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩12分,ワンルーム,-,39.6,-,6階,西,マンション,鉄骨鉄筋,6階/8階建,築34年,1991年1月,要,-,即,仲介,ペット相談,279680602,100250069317,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　４０，７２０円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000068234232/?bc=100250069317
菊家総本店ビル,1111.111111,44000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、オートロック、室内洗濯置、エレベーター、洗面所独立、洗面化粧台、IHクッキングヒーター、オール電化,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩12分,1DK,-,39.6,-,6階,西,マンション,鉄骨鉄筋,6階/8階建,築34年,1991年1月,要,-,相談,仲介,ペット相談,279680601,100306017401,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　４０，７２０円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000078502209/?bc=100306017401
Asul府内,1212.522046,55000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、TVインターホン、室内洗濯置、シューズボックス、システムキッチン、温水洗浄便座、エレベーター、洗面所独立、即入居可、防犯カメラ、IHクッキングヒーター、保証人不要、全居室フローリング、フリーレント、事務所相談、プロパンガス、リノベーション、IT重説 対応物件、初期費用カード決済可,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩8分
ＪＲ久大本線/古国府駅 歩27分
ＪＲ日豊本線/牧駅 歩41分",1LDK,洋6 LDK14.5,45.36,-,4階,-,マンション,鉄筋コン,4階/5階建,築45年,1979年9月,1.6万円2年,-,即,代理,フリーレント1ヶ月,-,100362595084,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 初回保証料3万円、更新料1.5万円（1年毎）、月額保証料330円,合計1.1万円（内訳：鍵交換代11000円）,-,・退去時清掃費６万円　・短期解約違約金あり　・町内会費300円,https://suumo.jp/chintai/jnc_000090259725/?bc=100362595084
レスコ府内,1670.574443,57000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、防犯カメラ、ネット専用回線、ネット使用料不要、プロパンガス,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1K,-,34.12,-,7階,東,マンション,鉄筋コン,7階/8階建,築17年,2007年12月,要,-,相談,仲介,二人入居可,120390703,100370512051,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５１，１２０円　更新無,合計9.97万円（内訳：鍵交換代20900円/清掃費33000円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000089144013/?bc=100370512051
レスコ府内,1698.450536,57000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、オートロック、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、駐輪場、CATV、防犯カメラ、ネット専用回線、ネット使用料不要、プロパンガス,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1K,-,33.56,-,6階,東,マンション,鉄筋コン,6階/8階建,築17年,2007年12月,要,-,相談,仲介,二人入居可/フリーレント1ヶ月,120390601,100382905292,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５１，１２０円　更新無,合計9.97万円（内訳：鍵交換代20900円/清掃費33000円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000090880250/?bc=100382905292
レスコ府内,1699.882767,58000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、防犯カメラ、ネット専用回線、ネット使用料不要、プロパンガス,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1LDK,-,34.12,-,7階,東,マンション,鉄筋コン,7階/8階建,築17年,2007年12月,要,敷地内19800円,相談,仲介,二人入居可/フリーレント1ヶ月,120390707,100370289624,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　６７，７６０円　更新無,合計9.42万円（内訳：鍵交換代20900円/清掃費27500円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000089108122/?bc=100370289624
レスコ府内,1529.831719,60000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、防犯カメラ、ネット専用回線、ネット使用料不要、プロパンガス,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1LDK,-,39.22,-,2階,東,マンション,鉄筋コン,2階/8階建,築17年,2007年12月,要,-,即,仲介,二人入居可/フリーレント1ヶ月,120390205,100369284542,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５３，５２０円　更新無,合計9.42万円（内訳：鍵交換代20900円/清掃費27500円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000088957139/?bc=100369284542
レスコ府内,1529.831719,60000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、オートロック、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、CATV、防犯カメラ、ネット専用回線、ネット使用料不要、プロパンガス,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1LDK,-,39.22,-,4階,東,マンション,鉄筋コン,4階/8階建,築17年,2007年12月,要,-,相談,仲介,二人入居可/フリーレント1ヶ月,120390405,100388049884,-,2024/06/29,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５３，５２０円　更新無,合計9.42万円（内訳：鍵交換代20900円/清掃費27500円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000091636188/?bc=100388049884
レスコ府内,1555.328914,61000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、防犯カメラ、ネット専用回線、ネット使用料不要、プロパンガス,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1LDK,-,39.22,-,3階,東,マンション,鉄筋コン,3階/8階建,築17年,2007年12月,要,敷地内13200円,相談,仲介,二人入居可/フリーレント1ヶ月,120390305,100369284568,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　６４，８８０円　更新無,合計9.42万円（内訳：鍵交換代20900円/清掃費27500円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000089049613/?bc=100369284568
レスコ府内,1631.8205,64000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、防犯カメラ、ネット専用回線、ネット使用料不要、プロパンガス,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1LDK,-,39.22,-,6階,東,マンション,鉄筋コン,6階/8階建,築17年,2007年12月,要,-,相談,仲介,二人入居可/フリーレント1ヶ月,120390605,100369904019,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５６，７２０円　更新無,合計9.42万円（内訳：鍵交換代20900円/清掃費27500円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000089049614/?bc=100369904019
レスコ府内,1657.317695,65000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、防犯カメラ、ネット専用回線、ネット使用料不要、プロパンガス,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1LDK,-,39.22,-,7階,東,マンション,鉄筋コン,7階/8階建,築17年,2007年12月,要,-,即,仲介,二人入居可/フリーレント1ヶ月,120390705,100372962515,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５７，５２０円　更新無,合計9.42万円（内訳：鍵交換代20900円/清掃費27500円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用300円/月,-,https://suumo.jp/chintai/jnc_000089498671/?bc=100372962515
リモナーデ府内,1832.760596,80000,7000円,-,10万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、追焚機能浴室、角住戸、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、敷金不要、対面式キッチン、ペット相談、照明付、オートバス、保証人不要、単身者相談、二人入居相談、カードキー、全居室フローリング、ネット使用料不要、24時間換気システム、複層ガラス、南面リビング、ペット専用設備、駅徒歩10分以内、敷地内ごみ置き場、都市ガス、洗面所にドア、3WAY洗面所、三面鏡付洗面化粧台、南面バルコニー、室内物干機、BS、IT重説 対応物件、初期費用カード決済可、家賃カード決済可、通風良好,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩9分
大分バス/トキハ前 歩5分",1LDK,洋5 LDK10.8,43.65,-,2階,南,マンション,鉄筋コン,2階/8階建,築8年,2016年11月,要,-,24年7月上旬,仲介,二人入居可/ペット相談,84571436,100375282361,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,-,合計1.31万円（内訳：Ｄｒｏｏｍカードキー／ＩＣロック電池等）,-,機関保証加入必須／初回保証料３５０００円、月額保証料賃料等総額の１％＋８００円／月（その他商品あり）,https://suumo.jp/chintai/jnc_000089794381/?bc=100375282361
リモナーデ府内,1968.988432,80000,7000円,-,10万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、即入居可、敷金不要、ペット相談、照明付、オートバス、保証人不要、二人入居相談、カードキー、全居室フローリング、ネット使用料不要、24時間換気システム、複層ガラス、南面2室、南面リビング、ペット専用設備、駅徒歩10分以内、敷地内ごみ置き場、都市ガス、洗面所にドア、3WAY洗面所、三面鏡付洗面化粧台、室内物干機、BS、IT重説 対応物件、初期費用カード決済可、家賃カード決済可、通風良好,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩9分
大分バス/トキハ前 歩5分",1LDK,洋4 LDK11.2,40.63,-,2階,南,マンション,鉄筋コン,2階/8階建,築8年,2016年11月,要,-,即,仲介,二人入居可/ペット相談,80876610,100322389803,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,-,合計4.11万円（内訳：Ｄｒｏｏｍカードキー／ＩＣロック電池／ルームクリーニング費等）,-,機関保証加入必須／初回保証料３５０００円、月額保証料賃料等総額の１％＋８００円／月（その他商品あり）,https://suumo.jp/chintai/jnc_000088049693/?bc=100322389803
リモナーデ府内,1995.510102,80000,7000円,-,10万円,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、追焚機能浴室、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、駐輪場、宅配ボックス、即入居可、敷金不要、ペット相談、保証人不要、カードキー、2沿線利用可、ネット使用料不要、複層ガラス、2駅利用可、駅徒歩10分以内、都市ガス、BS、保証会社利用可、IT重説 対応物件、家賃カード決済可,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩10分
ＪＲ日豊本線/牧駅 バス9分 (バス停)大分市役所前 歩6分
ＪＲ久大本線/古国府駅 歩29分",1LDK,洋5 LDK10.5,40.09,-,2階,南,マンション,鉄筋コン,2階/8階建,築8年,2017年1月,-,-,即,仲介,二人入居可/子供可/ペット相談,74058336,100365336021,38戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回請求時（保証開始月の翌月）の保証料は月額賃料等×６．８％＋１，６００円　毎月の保証料：月額賃料等×３．４％＋８００円,合計5.05万円（内訳：カードキー発行料／ＩＣロック電池／ルームクリーニング代等）,上下水道料　３３００円（月額）,・ペット可（小型室内犬１匹ｏｒ猫１匹）敷金１ヶ月＋ルームクリーニング代　※個人契約の場合、ネット申込必須,https://suumo.jp/chintai/jnc_000088315266/?bc=100365336021
